ano;UF;tipo;area colheita;area colhida;Q produzida;rendimento medio;valor produção
2017;Espírito Santo;Café (em grão) Arábica;149211;149211;178689;1198;1179067
2017;Rio de Janeiro;Café (em grão) Arábica;12216;12216;17265;1413;78044
2017;São Paulo;Café (em grão) Arábica;193539;193539;262763;1358;1686885
2017;Paraná;Café (em grão) Arábica;40168;40127;67216;1675;475417
2017;Santa Catarina - Brasil;Café (em grão) Arábica;0;0;0;0;0
2017;Rio Grande do Sul;Café (em grão) Arábica;0;0;0;0;0
2017;Mato Grosso do Sul;Café (em grão) Arábica;473;470;464;987;2638
2017;Mato Grosso;Café (em grão) Arábica;63;63;101;1603;724
2017;Goiás;Café (em grão) Arábica;5647;5647;14622;2589;62404
2017;Distrito Federal - Brasil;Café (em grão) Arábica;528;528;968;1833;7179
2016;Rondônia;Café (em grão) Canephora;87437;79317;90331;1139;457826
2016;Acre;Café (em grão) Canephora;1475;1475;2169;1471;8683
2016;Amazonas;Café (em grão) Canephora;389;366;532;1454;1558
2016;Roraima;Café (em grão) Canephora;0;0;0;0;0
2016;Pará;Café (em grão) Canephora;456;456;391;857;1241
2016;Amapá;Café (em grão) Canephora;0;0;0;0;0
2016;Tocantins;Café (em grão) Canephora;0;0;0;0;0
2016;Maranhão;Café (em grão) Canephora;0;0;0;0;0
2016;Piauí;Café (em grão) Canephora;0;0;0;0;0
2016;Ceará;Café (em grão) Canephora;127;127;26;205;118
2016;Rio Grande do Norte;Café (em grão) Canephora;0;0;0;0;0
2016;Paraíba;Café (em grão) Canephora;0;0;0;0;0
2016;Pernambuco;Café (em grão) Canephora;0;0;0;0;0
2016;Alagoas;Café (em grão) Canephora;0;0;0;0;0
2016;Sergipe;Café (em grão) Canephora;0;0;0;0;0
2016;Bahia;Café (em grão) Canephora;44303;44303;55289;1248;342907
2016;Minas Gerais;Café (em grão) Canephora;12825;12825;17968;1401;108754
2016;Espírito Santo;Café (em grão) Canephora;275919;274419;304008;1108;1890452
2016;Rio de Janeiro;Café (em grão) Canephora;0;0;0;0;0
2016;São Paulo;Café (em grão) Canephora;31;31;24;774;84
2016;Paraná;Café (em grão) Canephora;0;0;0;0;0
2016;Santa Catarina - Brasil;Café (em grão) Canephora;0;0;0;0;0
2016;Rio Grande do Sul;Café (em grão) Canephora;0;0;0;0;0
2016;Mato Grosso do Sul;Café (em grão) Canephora;0;0;0;0;0
2016;Mato Grosso;Café (em grão) Canephora;16210;16210;5690;351;31624
2016;Goiás;Café (em grão) Canephora;0;0;0;0;0
2016;Distrito Federal - Brasil;Café (em grão) Canephora;0;0;0;0;0
2016;Rondônia;Café (em grão) Arábica;0;0;0;0;0
2016;Acre;Café (em grão) Arábica;0;0;0;0;0
2016;Amazonas;Café (em grão) Arábica;17;17;23;1353;96
2016;Roraima;Café (em grão) Arábica;0;0;0;0;0
2016;Pará;Café (em grão) Arábica;0;0;0;0;0
